ImageID,Source,LabelName,Confidence
00,verification,1,1
00,verification,2,0
01,verification,2,0
02,verification,2,1
03,verification,3,0
04,crowdsource-verification,3,0
05,crowdsource-verification,4,1
05,crowdsource-verification,1,1
06,verification,4,1
07,crowdsource-verification,6,1
08,verification,6,0
12,crowdsource-verification,1,0
13,verification,3,1
14,crowdsource-verification,2,1
15,crowdsource-verification,1,1
15,crowdsource-verification,2,1
16,crowdsource-verification,6,1
16,crowdsource-verification,1,0
17,verification,2,0
17,verification,5,1
