Nicrophorus tomentosus
Halyomorpha halys
Betula lenta
Hericium erinaceus
Harpaphe haydeniana
Euptoieta hegesia
Hericium coralloides
Frangula caroliniana
Amorpha fruticosa
Hyla eximia
Nannothemis bella
Penstemon digitalis
Cornus canadensis
Metrosideros excelsa
Chamerion angustifolium
Asplenium bulbiferum
Ramphotyphlops braminus
Hydrocotyle bonariensis
Castanea dentata
Lilium columbianum
Cyanocitta cristata
Drymarchon melanurus
Aenetus virescens
Callicarpa americana
Cyanocitta stelleri
Aramus guarauna
Eichhornia crassipes
Calochortus tiburonensis
Megalorchestia californiana
Fagus grandifolia
Balearica regulorum
Fistularia commersonii
Erysimum franciscanum
Syritta pipiens
Plestiodon fasciatus
Schinus molle
Plestiodon inexpectatus
Pyrocephalus rubinus
Plestiodon laticeps
Anguilla rostrata
Plestiodon obsoletus
Scarus rubroviolaceus
Mertensia ciliata
Plestiodon tetragrammus
Syntomoides imaon
Rumex acetosella
Rubus allegheniensis
Eupatorium capillifolium
Arion ater
Cynosurus echinatus
Stenocereus thurberi
Chamaeleo dilepis
Hymenopappus scabiosaeus
Helianthus tuberosus
Sabatia angularis
Phoebis agarithe
Pseudopanax crassifolius
Taeniopoda eques
Libellula quadrimaculata
Berberis thunbergii
Haemulon sciurus
Cordulegaster diastatops
Ladona julia
Ardeotis kori
Geum triflorum
Diodon holocanthus
Papilio canadensis
Monochamus scutellatus
Ceratotherium simum simum
Cordulia shurtleffii
Pica nuttalli
Eutrochium maculatum
Pantala flavescens
Platycryptus undatus
Mimulus guttatus
Podophyllum peltatum
Calystegia sepium
Zelus longipes
Cypripedium parviflorum pubescens
Cardamine californica
Antigone canadensis
Aetobatus narinari
Uniola paniculata
Carphophis amoenus
Phyciodes pulchella
Ardea herodias occidentalis
Pantherophis emoryi
Nehalennia irene
Tinantia anomala
Pantherophis guttatus
Pantherophis obsoletus
Phyciodes tharos
Porzana carolina
Siproeta stelenes biplagiata
Mesembryanthemum crystallinum
Viscum album
Panax trifolius
Carpobrotus edulis
Bombus terrestris
Fouquieria splendens
Atrichoseris platyphylla
Persicaria perfoliata
Contopus virens
Encelia farinosa
Dianthus armeria
Ibervillea lindheimeri
Castilleja coccinea
Earina autumnalis
Castilleja purpurea
Phacelia crenulata
Anas platyrhynchos diazi
Hyles lineata
Dolomedes tenebrosus
Cylindropuntia bigelovii
Araneus marmoreus
Cylindropuntia echinocarpa
Silene virginica
Epilachna mexicana
Desmodus rotundus
Bartramia longicauda
Papio ursinus
Empidonax difficilis
Stropharia ambigua
Empidonax minimus
Cynara cardunculus
Empidonax fulvifrons
Commelina communis
Oenanthe oenanthe
Hemileuca eglanterina
Empidonax traillii
Cuscuta californica
Ceratomia undulosa
Prenolepis imparis
Bittacomorpha clavipes
Xanthorhoe lacustrata
Leucophyllum frutescens
Empidonax hammondii
Empidonax occidentalis
Rallus limicola
Pinus echinata
Kalmia latifolia
Bombylius major
Grus grus
Rabdotus dealbatus
Abudefduf saxatilis
Malacosoma americanum
Zopherus nodulosus haldemani
Hermetia illucens
Sanicula crassicaulis
Lestes congener
Quiscalus major
Thamnophis radix
Corydalus cornutus
Merops apiaster
Equus caballus
Xylaria hypoxylon
Stachys bullata
Struthio camelus
Cyanocorax yucatanicus
Zamenis longissimus
Cyanocorax yncas
Nadata gibbosa
Dactylorhiza fuchsii
Blechnum penna-marina
Ensatina eschscholtzii xanthoptica
Heterocampa biundata
Corallorhiza mertensiana
Evernia prunastri
Stellaria media
Lithacodia musta
Lophocampa caryae
Aplectrum hyemale
Quiscalus niger
Incilius nebulifer
Kelletia kelletii
Atriplex canescens
Pyrausta insequalis
Alces americanus
Cotinis mutabilis
Corallorhiza maculata
Incilius valliceps
Monotropa uniflora
Viburnum dentatum
Stenosiphon linifolius
Psilorhinus morio
Hieracium albiflorum
Lacerta bilineata
Thalassoma bifasciatum
Tadarida brasiliensis
Xylocopa varipuncta
Microcarbo melanoleucos brevirostris
Bombus sonorus
Calvatia gigantea
Basiliscus vittatus
Phlogophora meticulosa
Zea mays
Megarynchus pitangua
Echinocereus triglochidiatus
Gallinula tenebrosa
Ameiurus melas
Automeris io
Auricularia cornea
Patiria miniata
Crotaphytus collaris
Lavia frons
Esox lucius
Anaxyrus boreas halophilus
Opheodrys aestivus
Sarracenia flava
Numida meleagris
Echium candicans
Calypso bulbosa occidentalis
Thasus neocalifornicus
Rosa palustris
Osmunda regalis
Iris missouriensis
Pisaster brevispinus
Belocaulus angustipes
Drosera arcturi
Carex lupulina
Tyrannus vociferans
Chelone glabra
Hibiscus moscheutos
Satyrium californica
Dendrocygna autumnalis
Tyrannus crassirostris
Linckia laevigata
Ecliptopera silaceata
Dyspteris abortivaria
Clitoria mariana
Tyrannus verticalis
Agrotis ipsilon
Tyrannus savana
Lupinus texensis
Caripeta divisata
Cicindela sexguttata
Thylacodes squamigerus
Cerma cerintha
Tillandsia usneoides
Silene dioica
Lonicera maackii
Sunira bicolorago
Trichechus manatus latirostris
Ramalina menziesii
Calosoma scrutator
Sphecius speciosus
Idaea dimidiata
Iridopsis larvaria
Asplenium flaccidum
Leuconycta diphteroides
Gallirallus australis
Metanema inatomaria
Lepomis macrochirus
Rubus cissoides
Raphia frater
Pomoxis nigromaculatus
Lithobates catesbeianus
Salvelinus fontinalis
Thamnophis proximus rubrilineatus
Lithobates clamitans
Coprosma foetidissima
Coprosma lucida
Gilia capitata
Astelia fragrans
Columba livia domestica
Melicytus ramiflorus
Calocitta formosa
Calocitta colliei
Hemaris thysbe
Oxalis articulata
Lepomis gibbosus
Olearia paniculata
Lithobates pipiens
Vanessa kershawi
Fulica americana
Rabidosa rabida
